mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
3,0.07335932292814104,1,372853.0,80,14098,-9.019224109749026e-17,-8.797174188113759e-17,2.894698826772313e-17,-1.775960531142465e-17,-8.908199148931392e-17,5.59369147814924e-18,1.0861998506778555e-21,4.6706593579147786e-17
3,0.07335932292814104,2,1272409.0,28469,51317,0.02221797477072078,0.02224495959663921,0.02378458714593951,-0.01856198850018011,0.022231467183679993,0.0026112993228796996,9.848040847934796e-07,0.04234657564611962
3,0.07335932292814104,3,1847909.0,28660,51508,0.0004488569701753794,0.0004494633814207902,0.0004863038161517765,-0.0003793596225527794,0.0004491601757980848,5.347209679949853e-05,2.0131707876850135e-08,0.0008656634387045559
3,0.07335932292814104,4,2423409.0,374,14392,-0.0222218640195618,-0.02224826835252521,-0.0238015330982635,0.01858330200452697,-0.022235066186043505,-0.0026091155468682663,-9.856938395997782e-07,-0.042384835102790466
3,0.07335932292814104,5,3361547.0,29176,52024,-2.149945346923668e-17,-1.653759741480954e-17,-5.585358005745452e-17,-1.07603058121262e-17,-1.9018525442023108e-17,-3.330694293479036e-17,-1.0486807964029843e-21,-4.5093274245328325e-17
4,0.0737995837805134,1,372853.0,80,14098,1.201838435425005e-16,1.188005342876144e-16,2.697232157643964e-17,-2.017119981352861e-17,1.1949218891505745e-16,3.4005608814555152e-18,1.0963609625574011e-21,4.714352138996825e-17
4,0.0737995837805134,2,1272409.0,28469,51317,-0.02087131109871086,-0.0208469754661293,0.0215937802128253,-0.01688714884533079,-0.020859143282420077,0.002353315683747255,8.949053269338626e-07,0.03848092905815609
4,0.0737995837805134,3,1847909.0,28660,51508,-0.0004241020914555619,-0.0004235542481848835,0.0004412624074040022,-0.0003446137519836102,-0.00042382816982022267,4.832432771019598e-05,1.8276189753200287e-08,0.0007858761593876124
4,0.0737995837805134,4,2423409.0,374,14392,0.02086587721774563,0.02084211397012569,-0.02160480578392035,0.01691034846343513,0.020853995593935658,-0.0023472286602426104,-8.957012615664065e-07,-0.03851515424735548
4,0.0737995837805134,5,3361547.0,29176,52024,1.999079867483613e-16,2.005992469484431e-16,-2.927582837159965e-17,2.257067060526821e-18,2.0025361684840221e-16,-1.3509380655536413e-17,-7.333231495843365e-22,-3.153289543212647e-17
5,0.1012865182550861,1,372853.0,80,14098,1.114883193200542e-16,1.109037997212265e-16,-2.026084790670798e-17,6.073660370829919e-18,1.1119605952064035e-16,-7.09359376793903e-18,-6.124304250590208e-22,-2.6334508277537898e-17
5,0.1012865182550861,2,1272409.0,28469,51317,-4.743395537668203e-07,4.917574173872903e-07,-0.005778796164220369,-0.005784628458973277,8.708931810234967e-09,-0.005781712311596823,1.3563476169552862e-10,5.832294752907731e-06
5,0.1012865182550861,3,1847909.0,28660,51508,4.626206251708113e-06,-4.633029746828807e-06,0.0410072087290948,0.04105777247428642,-3.4117475603467978e-09,0.04103249060169061,-1.175901050967912e-09,-5.056374519162021e-05
5,0.1012865182550861,4,2423409.0,374,14392,-2.697782101915419e-07,3.053412478881249e-07,-0.004309694295338009,-0.004313460847310229,1.7781518848291498e-08,-0.004311577571324119,8.759423191209768e-11,3.7665519722202e-06
5,0.1012865182550861,5,3361547.0,29176,52024,-1.654118587298939e-17,-1.056302090710524e-17,5.04907432511254e-17,-2.221892611749199e-17,-1.3552103390047314e-17,1.4135908566816708e-17,1.6909225434562184e-21,7.270966936861739e-17
6,0.1034122743116327,1,372853.0,80,14098,1.877678743221037e-16,1.883721039001041e-16,-1.423963218220667e-17,2.277082479444345e-17,1.880699891111039e-16,4.26559630611839e-18,-8.607083017825607e-22,-3.7010456976650115e-17
6,0.1034122743116327,2,1272409.0,28469,51317,-0.001272855814525748,-0.001278730511289688,-0.006046013608951729,0.004871493004277637,-0.001275793162907718,-0.0005872603023370461,-2.5389550263324104e-07,-0.010917506613229365
6,0.1034122743116327,3,1847909.0,28660,51508,0.004508125159498378,0.004562851602407567,0.04629818387298142,-0.03603338004342119,0.004535488380952973,0.005132401914780118,1.9146875329395956e-06,0.08233156391640262
6,0.1034122743116327,4,2423409.0,374,14392,-0.00108731931710038,-0.001090872032417273,-0.004391610867111382,0.003617848658836898,-0.0010890956747588265,-0.00038688110413724174,-1.8626650060344837e-07,-0.00800945952594828
6,0.1034122743116327,5,3361547.0,29176,52024,1.997371723650244e-16,1.926205855741455e-16,3.194056157287937e-17,3.021059297106891e-17,1.9617887896958495e-16,3.107557727197414e-17,4.0231827949080377e-23,1.7299686018104562e-18
